source,text,label
uae_mof,أعمال مدنية مسجد عبدالله بن عباس -الشارقة,0
qatar_finance,الطرق والبنية التحتية في شمال سميسمة - الحزمة 7 مقاولات / النشاط (الصرف الصحي - تخصص طرق) / الدرجة (1)/الشركات (الجميع) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
bahrain,Export Bahrain Employees Medical Insurance Coverage,0
uae_mof,"طلب لتنفيذ البرنامج التدريبي "" إعداد وصناعة المدرب المحترف المعتمد""",0
qatar,"EXCEUTION RECTIFICATION OF TOILET FLOOR REVERSE SLOPES, INCLUDING WATERPROOFING AND ASSOCIATED CIVIL WORKS AT ARGENTINE NEIGHBORHOOD Qatar",0
qatar,Advisory Supervision Services For The Road And Infrastructure Project Leading To Zekrit Camp Qatar,0
bahrain,PROVISION OF LEED CERTIFICATION FACILITATION SERVICES AT BAPCO ENERGIES BFH OFFICE,0
bahrain,Purchase and Supply of Chemicals & Oil,0
qatar,SUPPLY OF MATERIAL AGREEMENT FOR INDUSTRIAL & CALIBRATION GASES Qatar,0
qatar_finance,مشروع تقديم أعمال الصيانة الإلكتروميكانيكية للمدارس ورياض الأطفال والمباني التابعة لوزارة التربية والتعليم والتعليم العالي,0
qatar,Provision for Overhauling Boiler Feed Water (BFW) & Closed Cooling Water (CCW) Pumps in QAFCO1-7 Qatar,0
uae_mof,Agentic AI Infrastructure,1
uae_mof,مشروع تقديم الخدمات الطبية – العيادات الميدانية المؤقتة في مواقع الهيئة 2027,0
bahrain,2025-120-PIP-EPDREPLACEMENT OF HIGHLY CORRODED PIPE LINES AT RPS,0
qatar,A framework contract for the supply of laboratory reagents to Hamad Medical Corporation for a period of three years / M...Ht / SLM / AM / BBA - 2025/8294/77 (re-offer) Qatar,0
bahrain,TANKERING SERVICES FOR RAINFALL & GENERAL EMERGENCY.,0
bahrain,Supply of Various Fittings for 3SRU 5CDU and RHL Flare Line 2026 and 27 SD,0
qatar,provision of security services for the building of the General Authority for Regulating the Real Estate Sector for a period of three calendar years for the benefit of (the General Authority for Regulating the Real Estate Sector) Qatar,0
qatar,Design and implementation works for stormwater drainage networks to control and mitigate flooding – Education City – Phase One Qatar,0
bahrain,TEN/2025/0187MANPOWER AND EQUIPMENT SUPPLY FOR CIVIL DISCIPLINE,0
qatar,Pathology Qatar,0
qatar_finance,توفير عقد خدمات المواصلات الرئيسية ل بي أن,0
qatar,Security orchestration automation solution project and threat intelligence platform Qatar,1
qatar,"External audit services, tax returns and preparation of consolidated financial statements, in addition to tax, accounting and financial consultations for a period of three years for the benefit of Old Doha Port. Qatar",0
qatar,A comprehensive strategic assessment of the activities of the Qatar Aeronautical Academy Qatar,0
qatar_finance,توفير خدمات وكالة متخصصة في أنشطة المناصرة والاتصال لمؤتمر وايز التابع لمؤسسة قطر وذلك على اساس الطلب لمدة ثلاث سنوات مع خيار التمديد لسنة إضافية,0
qatar_finance,دعم جدار الحماية وتجديد التراخيص لمتاحف قطر (2026/60),1
qatar,Supply of medical devices - re-offering-1SLM/S/2026/10382 Qatar,0
bahrain,Supply of Air-cooled water chiller package,0
bahrain,2025-147-PIP-DIDDEPLOYMENT OF CONFIGURATION MANAGEMENT DATABASE (CMDB) FOR IT SYSTEMS,1
uae_mof,دراسة وتقييم السلامة الإنشائية لمبنى وقف ابن باز إمارة عجمان,0
qatar_finance,عقد الخدمات الاستشارية للإشراف على تصميم وتنفيذ خط صرف صحي رئيسي لمدينة كروة والمدينة الآسيوية والمناطق المحيطة ( مقدمي خدمات -الدرجة 1-2-3- الشركات المحلية والأجنبية ) . لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,0
qatar,Contract for repaving road works with asphalt at Hamad General Hospital / M...Ht / SLM / AM / 2026/9313 (re-offer) Qatar,0
qatar,Contract No. (3) (P023) Quality Control And Assurance For The Orbital Highway Project Qatar,0
qatar_finance,حل شبكة المواهب لمؤسسة قطر,1
bahrain,"Maintenance service contract for clearing & cleaning storm water (rain), drainage pipes (sewage lines) and manholes at GH facilities",0
bahrain,Supply of Plug Valve,0
bahrain,"Request for Proposal for training institutions that deliver training program(s) in ISO, Quality, and Process Improvement throughout 2026-2027",0
qatar_finance,توريد مستهلكات طبية س ل م / ص / 2026/10766,0
qatar,Buy Ultrasound Reporting Software for 12 Devices at WWRC/ST/SLM/AM/2026/9740 Qatar,1
qatar_finance,أعمال صيانة أجهزة التكييف والتبريد لعدد ( 58 ) مسجد بمنطقة ( أبوهامور - الهلال ) لمدة ( 3 ) سنوات ميلادية,0
bahrain,Digital forensics Workstation,1
qatar,Disposable Tourniquet Cuff Qatar,0
bahrain,Muharraq Port Customer Service Center for Marine Fishing Licenses,0
uae_mof,أجهزة دفع الزكاة والوقف,1
uae_mof,ARIS Support Services,1
uae_mof,Training Services and Academic Content for the National and International Science Olympiads,0
qatar_finance,تصميم وتنفيذ اعمال تطوير وصيانة المنشآت الرياضية -وزارة الرياضة والشباب - حزمة 3 ( الفئة - المقاولون / النشاط - المباني / الدرجة - 1-2 / الشركات - الكل ) لمزيد من التفاصيل يرجى زيارة موقع اشغال الالكتروني,0
qatar,Provision of Medical Insurance for GHC Staff & Dependents (3 Years) Qatar,0
uae_mof,من أجل مبادرة زراعة 100 مليون شتلة قرم-03,0
uae_mof,Nutrition Guideline 2026,0
uae_mof,RFI for Recruitment Fair,0
bahrain,Supply of Instrument and F&G Cables,0
uae_mof,Employer Satisfaction Survey,0
bahrain,Designing and preparing the Stage and its supplies for holding the sixth National Conference and Exhibition for Occupational Safety and Health,0
bahrain,Supply of Savoury Snacks,0
bahrain,TWO YEARS SERVICE MAINTENANCE CONTRACT FOR SDMO & KOHLER STAND-BY GENERATOR SET AT GOVERNMENT HOSPITALS FACILITIES.,0
qatar,provision of limiting the spread of invasive myna birds for the benefit of (Projects and Development Management) Qatar,0
qatar_finance,عقد اطاري لتوريد مستلزمات طبية لمدة خمس سنوات - إعادة طرح س ل م / 2026/ب ب أ-92,0
qatar,Universal Medical Item Qatar,0
qatar_finance,عقد إطاري لتوريد كواشف مخبرية لمؤسسة حمد الطبية لمدة ثلاث سنوات / م...ح...ط / س ل م / ص/بي بي أي- 2025/8294/77 (إعادة طرح),0
uae_mof,Enterprise Agentic AI Platform,1
uae_mof,الاحتفالات بالأيام الوطنية لدول مجلس التعاون الخليجي,0
qatar_finance,Re-Tender : HMC/TCS/14/2025 Provision of Seating and Mobility Services Center Bulk Order - Item No 3 and 27,0
qatar_finance,خدمات المراقبة والاستجابة المدارة من كراود سترايك,1
qatar,Rfi For Skin Prep. Solution (2% Chg - Aqueous) Qatar,0
uae_mof,أعمال تركيب أبواب حديدية في غرف التوقيف سويحان,0
qatar_finance,صيانة ودعم أنظمة بمركز ادارة شبكات الصرف الصحي (مقدمي خدمات-موردين/خدمات الهندسية والكهربائية-تركيب وتشغيل وصيانة الانظمة والمعدات-القياس واختبار والاصلاح-خدمات تقنية المعلومات والبرمجيات/الشركات - الكل) لمزيد من التفاصيل زيارة موقع أشغال الالكتروني,1
bahrain,Replacement of Track Substation Split AC’s,0
qatar,"A public tender for the study, design and implementation of remediation works for defects in swimming pool facilities in the Simaisma and Al-Daayen Youth Club Qatar",0
qatar,Services provided for electronic account management (Google and Microsoft) Qatar,1
bahrain,IN/Bahrain Bourse/2026/4Microsoft 365 licenses renewal,1
uae_mof,Audio and video communication system) A first round for Technical Proposals(,1
qatar,Consultancy Services For Fire & Safety Risk Assessment Qatar,0
uae_mof,MNCC maintenance contract,
qatar,"Auction for the sale of used cars, Ministry of Finance Qatar",0
qatar_finance,توريد مستهلكات طبية-س.ل.م/2026/10771,0
